Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Time        , Status       
0.0673599243, 0.115410022 , -9.594299   , -0.000918529462, -0.000251882419, -0.00320186769, -0.214170143, -0.02372927 , 0.450316846 , 137.170059  , 3
0.07050339  , 0.103734285 , -9.589808   , -0.000918529462, -0.0007845309, -0.00306870579, -0.214304969, -0.023864096, 0.450182021 , 137.180069  , 3
0.0547860749, 0.107326813 , -9.575888   , -0.0006522052, -0.0007845309, -0.00107127393, -0.214304969, -0.023864096, 0.450182021 , 137.190063  , 3
0.0525407456, 0.100141756 , -9.573193   , -0.0009185293, -0.000917693, -0.0020034085, -0.2144398  , -0.0235270318, 0.450384259 , 137.200058  , 3
0.0556842   , 0.12528947  , -9.611363   , 0.0004130927, -0.00145034166, -0.0028022863, -0.2145072  , -0.0237966832, 0.450384259 , 137.210068  , 3
0.0637673959, 0.1127156   , -9.587113   , 0.0002799305, -0.000784531061, -0.00160382758, -0.214372382, -0.0235270318, 0.450249434 , 137.220062  , 3
0.0511935465, 0.09250764  , -9.578582   , -0.000252717757, 1.44416708E-05, -0.000538530468, -0.214372382, -0.0239989217, 0.450384259 , 137.230057  , 3
0.04625382  , 0.124391332 , -9.59385    , 0.00201103813, -0.000784531061, -0.00120434107, -0.214372382, -0.0239989217, 0.450384259 , 137.240067  , 3
0.0592767373, 0.108674005 , -9.613609   , 0.001877876 , -0.0005182068, -0.0026691244, -0.214237556, -0.023864096, 0.450249434 , 137.250061  , 3
0.03547623  , 0.118104391 , -9.610915   , 0.000279930653, 0.000813414343, -0.00173698959, -0.214372382, -0.0237966832, 0.450182021 , 137.260071  , 3
0.0489482135, 0.133372664 , -9.58442    , -0.00105169066, -0.0009176931, -0.000938016863, -0.214372382, -0.023864096, 0.450316846 , 137.270065  , 3
0.0538879447, 0.1167572   , -9.593401   , 1.36064045E-05, -0.00264880038, -0.00160382735, -0.214372382, -0.023864096, 0.450316846 , 137.28006   , 3
0.06915619  , 0.102387078 , -9.589808   , 0.00134522759, -0.00158350356, -0.0026691244, -0.214304969, -0.02372927 , 0.450249434 , 137.29007   , 3
0.0628692657, 0.123942263 , -9.589359   , 0.001877876 , 0.00121290085, -0.00293544866, -0.214170143, -0.02372927 , 0.450182021 , 137.300064  , 3
0.043110352 , 0.1194516   , -9.585767   , 0.00294317375, 0.00307717035, -0.002003219, -0.214372382, -0.0239315089, 0.450451672 , 137.310059  , 3
0.04221222  , 0.120349742 , -9.607771   , 0.00121206616, 0.00134606264, -0.002003219, -0.214372382, -0.0239315089, 0.450451672 , 137.320068  , 3
0.06735993  , 0.1140628   , -9.605526   , 0.00121206627, 1.444156E-05, -0.00266902964, -0.214304969, -0.023864096, 0.450384259 , 137.330063  , 3
0.0601748675, 0.103734285 , -9.583971   , 0.0013452284, 1.444156E-05, -0.00346800266, -0.214170143, -0.023864096, 0.450316846 , 137.340057  , 3
0.0332309   , 0.1113684   , -9.596544   , -0.000918527658, 0.000280765758, -0.002802192, -0.21457462 , -0.02372927 , 0.4505865   , 137.350067  , 3
0.0390687548, 0.108674005 , -9.591156   , -0.00105168985, 0.000946576358, -0.00187005685, -0.21457462 , -0.02372927 , 0.4505865   , 137.360062  , 3
0.0570314   , 0.104183353 , -9.584869   , 0.0004130935, -0.000784531061, -0.00240270561, -0.2144398  , -0.0237966832, 0.450384259 , 137.370071  , 3
0.0507444777, 0.0987945646, -9.583971   , -0.00118485186, -0.00171666581, -0.00280219177, -0.214237556, -0.0239315089, 0.450316846 , 137.380066  , 3
0.0413140878, 0.118553475 , -9.587114   , -0.00344860787, 0.00014760367, -0.004400137, -0.2145072  , -0.0239315089, 0.450249434 , 137.39006   , 3
0.0538879447, 0.118104406 , -9.592503   , -0.000519041263, -0.000251882739, -0.00479962351, -0.2145072  , -0.0239315089, 0.450249434 , 137.40007   , 3
0.04805008  , 0.107326813 , -9.588013   , 0.0012120672, -0.0005182071, -0.00280209724, -0.2145072  , -0.023864096, 0.450384259 , 137.410065  , 3
0.07140153  , 0.107775889 , -9.599239   , -0.00171749934, 0.00014760354, -0.00160363817, -0.2144398  , -0.0241337474, 0.450249434 , 137.420059  , 3
