Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status       
-0.526316166, 9.747177    , 0.8702429   , -0.00321305171, -0.004318492, -0.00394459348, -1.661538   , -0.0590555258, 1.30800366  , 20.14       , 3
-0.5427675  , 9.757169    , 0.8510381   , 0.00171863183, -0.00643983949, -0.002587796, -1.66152477 , -0.0590754673, 1.30807042  , 20.15       , 3
-0.53251034 , 9.744875    , 0.853518069 , 0.00317582325, -0.007756788, -0.0004467811, -1.66149759 , -0.05907299 , 1.30814815  , 20.16       , 3
-0.505709469, 9.754992    , 0.8551483   , 0.00169810944, -0.00601064274, 0.00194426381, -1.661484   , -0.05904821 , 1.30820632  , 20.17       , 3
-0.5157262  , 9.747402    , 0.8528211   , 0.00156978867, -0.00535139861, 0.00100958475, -1.66147137 , -0.0590333119, 1.30825877  , 20.18       , 3
-0.51722455 , 9.756314    , 0.831121147 , 0.0005095909, -0.00629596272, -0.0009932664, -1.66147    , -0.05903752 , 1.30832219  , 20.19       , 3
-0.5371749  , 9.762918    , 0.8411631   , -0.00400933158, -0.004482026, -0.00152906834, -1.66139758 , -0.05886828 , 1.30945516  , 20.2        , 3
-0.52094084 , 9.767335    , 0.8521519   , -0.00574154174, -0.0035536855, -0.00207089284, -1.66145718 , -0.0588856861, 1.30949235  , 20.21       , 3
-0.522457361, 9.752896    , 0.8526906   , -0.005214287, -0.00594389345, -0.00126542209, -1.661513   , -0.05889288 , 1.30955243  , 20.22       , 3
-0.535519242, 9.730995    , 0.8679911   , -0.00549337175, -0.006593368, 0.00113401527, -1.66157162 , -0.0588756241, 1.30961728  , 20.23       , 3
-0.5219921  , 9.716328    , 0.8579244   , -0.00416318048, -0.00671964372, 0.002206292 , -1.661617   , -0.05884765 , 1.30968213  , 20.24       , 3
-0.522162139, 9.746626    , 0.861747    , -0.00148598989, -0.00739610428, 0.0006186597, -1.66163611 , -0.0588348433, 1.30975556  , 20.25       , 3
-0.505960166, 9.754408    , 0.8344369   , 0.000394230068, -0.005811859, -0.00124212564, -1.66163564 , -0.0588418879, 1.30981469  , 20.26       , 3
-0.5086763  , 9.766266    , 0.846919358 , 0.002136326 , -0.00488768844, -0.0023026627, -1.66161728 , -0.0588604  , 1.30986524  , 20.27       , 3
-0.526556   , 9.736578    , 0.8378997   , 0.0013391173, -0.005159864, -0.00323883072, -1.66160715 , -0.0588879846, 1.30992007  , 20.28       , 3
-0.5275633  , 9.738475    , 0.850029469 , 0.00254364964, -0.005430649, -0.00389998639, -1.66158509 , -0.0589218661, 1.30997777  , 20.29       , 3
-0.525519252, 9.734045    , 0.8672003   , 0.00416364  , -0.005612922, -0.00400840165, -1.66142476 , -0.0587834641, 1.31117082  , 20.3        , 3
